policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,ipw,1,0.177,0.0251659707049098,0.1276756037823866,0.2263243962176133,True,,1.0,4
fixed,aipw,1,0.1920867253358884,0.0195991901109017,0.1536730185923674,0.2305004320794093,True,,1.0,4
fixed,aw_aipw,1,0.1920867253358882,0.0195991901109017,0.1536730185923673,0.2305004320794092,True,,1.0,4
fixed,difference_in_means,2,0.1331689562052365,0.0206353535747275,0.0927244063905207,0.1736135060199524,True,,1.0,4
fixed,ipw,2,0.109,0.0238782807813558,0.0621994296558075,0.1558005703441924,True,,1.0,4
fixed,aipw,2,0.1399765450706483,0.0196545079092752,0.1014544174346112,0.1784986727066853,True,,1.0,4
fixed,aw_aipw,2,0.1399765450706482,0.0196545079092752,0.1014544174346112,0.1784986727066853,True,,1.0,4
fixed,difference_in_means,3,0.0993588690990961,0.0195016674188537,0.0611363033196646,0.1375814348785276,True,,1.0,4
fixed,ipw,3,0.13,0.0242883198393827,0.08239576786982,0.1776042321301799,True,,1.0,4
fixed,aipw,3,0.0971646482515052,0.0202083637162096,0.0575569831812483,0.1367723133217621,True,,1.0,4
fixed,aw_aipw,3,0.0971646482515052,0.0202083637162096,0.0575569831812483,0.1367723133217621,True,,1.0,4
fixed,difference_in_means,1,0.1363391600127426,0.0208595188055221,0.0954552544190832,0.1772230656064021,True,,1.0,5
fixed,ipw,1,0.129,0.025159451494416,0.079688381200162,0.1783116187998379,True,,1.0,5
fixed,aipw,1,0.1310119626733086,0.0195950592210918,0.0926063523250391,0.1694175730215781,True,,1.0,5
fixed,aw_aipw,1,0.1310119626733085,0.0195950592210918,0.0926063523250391,0.169417573021578,True,,1.0,5
fixed,difference_in_means,2,0.1150186333498622,0.0207052802012513,0.0744370298655992,0.1556002368341252,True,,1.0,5
fixed,ipw,2,0.11,0.0248017898990284,0.0613893850457749,0.158610614954225,True,,1.0,5
fixed,aipw,2,0.1222015363185505,0.0198833754206941,0.083230836602901,0.1611722360342,True,,1.0,5
fixed,aw_aipw,2,0.1222015363185504,0.0198833754206941,0.0832308366029009,0.1611722360341999,True,,1.0,5
fixed,difference_in_means,3,0.1039190203893028,0.0202963672727758,0.0641388715176648,0.1436991692609408,True,,1.0,5
fixed,ipw,3,0.121,0.0250099205122888,0.0719814565397042,0.1700185434602957,True,,1.0,5
fixed,aipw,3,0.107133646148915,0.0203045020636456,0.0673375533801503,0.1469297389176797,True,,1.0,5
fixed,aw_aipw,3,0.107133646148915,0.0203045020636456,0.0673375533801503,0.1469297389176796,True,,1.0,5
fixed,difference_in_means,1,0.1825421777125847,0.0203731047572249,0.1426116261351621,0.2224727292900073,True,,1.0,6
fixed,ipw,1,0.192,0.0257866290460655,0.1414591357870171,0.2425408642129828,True,,1.0,6
fixed,aipw,1,0.1784237794438968,0.0199951191083337,0.1392340661249741,0.2176134927628195,True,,1.0,6
fixed,aw_aipw,1,0.1784237794438967,0.0199951191083336,0.1392340661249741,0.2176134927628194,True,,1.0,6
fixed,difference_in_means,2,0.1397277333373505,0.0204515897465916,0.0996433540074422,0.1798121126672589,True,,1.0,6
fixed,ipw,2,0.129,0.0246371974435906,0.0807119803305601,0.1772880196694399,True,,1.0,6
fixed,aipw,2,0.1456298766988259,0.0197947493395578,0.1068328809102945,0.1844268724873572,True,,1.0,6
fixed,aw_aipw,2,0.1456298766988258,0.0197947493395578,0.1068328809102944,0.1844268724873572,True,,1.0,6
fixed,difference_in_means,3,0.1140518127370025,0.0203241905002735,0.0742171313415352,0.1538864941324698,True,,1.0,6
fixed,ipw,3,0.101,0.0240955369046776,0.0537736154786761,0.1482263845213238,True,,1.0,6
fixed,aipw,3,0.1178745227543581,0.01978900900297,0.0790887778187979,0.1566602676899183,True,,1.0,6
