policy,rep,cumulative_reward,expected_cumulative_reward,oracle_regret,share_arm0,share_arm1,share_arm2,share_arm3
fixed,148,1367.0,1381.056167497782,411.7161949023987,0.252,0.26,0.242,0.246
fixed,149,1437.0,1384.9521431367148,425.0397218161481,0.263,0.25575,0.244,0.23725
fixed,150,1432.0,1371.133122553268,408.3456412594407,0.248,0.2435,0.2535,0.255
fixed,151,1372.0,1375.672330970526,403.1127961531531,0.251,0.2465,0.25625,0.24625
fixed,152,1412.0,1383.5135906018031,413.1726998965249,0.257,0.25475,0.24425,0.244
fixed,153,1414.0,1383.940936657716,414.4320150324197,0.2495,0.24325,0.26075,0.2465
fixed,154,1360.0,1378.777896992269,408.286603953439,0.24425,0.24975,0.25725,0.24875
fixed,155,1362.0,1355.2967666618074,410.0066978716765,0.25525,0.2425,0.253,0.24925
fixed,156,1352.0,1375.95616012583,408.15998520613743,0.24525,0.24625,0.25125,0.25725
fixed,157,1396.0,1380.6504641624392,404.4547766062464,0.253,0.25425,0.25775,0.235
fixed,158,1393.0,1375.0136197843826,407.6613484355103,0.247,0.257,0.2525,0.2435
fixed,159,1393.0,1378.8755720950726,406.3468292161055,0.2445,0.2575,0.2485,0.2495
fixed,160,1413.0,1396.1463509863618,414.7569340858921,0.241,0.2585,0.2545,0.246
fixed,161,1357.0,1384.1495185506224,406.1212442490647,0.24775,0.23875,0.2535,0.26
fixed,162,1414.0,1381.1496306200047,419.8490182257465,0.24175,0.24725,0.2475,0.2635
fixed,163,1292.0,1353.7991305003388,414.0272309197527,0.25775,0.24125,0.2425,0.2585
fixed,164,1389.0,1388.700951531161,414.282483324695,0.253,0.2445,0.243,0.2595
fixed,165,1388.0,1379.119765638408,407.5242323596307,0.24575,0.25725,0.24975,0.24725
fixed,166,1370.0,1381.2866194936137,406.7179705072904,0.252,0.25625,0.2385,0.25325
fixed,167,1384.0,1380.907199813439,413.52324403126346,0.25375,0.25025,0.248,0.248
fixed,168,1377.0,1390.9965871253476,416.743729100536,0.249,0.254,0.23875,0.25825
fixed,169,1424.0,1396.342102895902,403.69266712213687,0.23575,0.262,0.25325,0.249
fixed,170,1289.0,1361.7592972618822,413.47717252874463,0.25525,0.249,0.2515,0.24425
fixed,171,1376.0,1369.4041269009924,412.2459386995566,0.24625,0.2505,0.2515,0.25175
fixed,172,1321.0,1374.4862106883556,406.9416116321389,0.2485,0.25525,0.2455,0.25075
fixed,173,1367.0,1391.301922214384,400.96923997544206,0.2455,0.26375,0.25175,0.239
fixed,174,1377.0,1389.0715244597989,410.12419713664,0.252,0.24725,0.256,0.24475
fixed,175,1343.0,1386.651122742339,409.5650354276443,0.24925,0.246,0.2495,0.25525
fixed,176,1376.0,1376.5006300024693,405.505892111654,0.24925,0.23975,0.256,0.255
fixed,177,1370.0,1383.4035221804995,405.271617507011,0.255,0.248,0.25325,0.24375
fixed,178,1377.0,1386.354989963696,406.6380215584521,0.24725,0.26375,0.24425,0.24475
fixed,179,1435.0,1380.7009355360456,416.3813886333624,0.2555,0.2435,0.2495,0.2515
fixed,180,1329.0,1394.4586397807384,422.4762905373772,0.262,0.24975,0.24225,0.246
fixed,181,1375.0,1379.077733895735,404.10002573787926,0.2445,0.244,0.258,0.2535
fixed,182,1394.0,1394.342557399722,405.02776252378345,0.24275,0.25125,0.255,0.251
fixed,183,1391.0,1359.399979966072,421.2816294264133,0.2615,0.2525,0.244,0.242
fixed,184,1392.0,1373.5289447344826,411.6863469692187,0.25275,0.25725,0.23225,0.25775
