policy,segment,arm,estimate,ci_low,ci_high,valid,rep
thompson,2,2,0.07453405074480285,-0.13493838612675,0.2840064876163557,True,15
thompson,2,3,0.013321798642930033,-0.20181596427476114,0.22845956156062122,True,15
thompson,0,1,-0.018263284561406943,-0.1541166726284546,0.11759010350564073,True,16
thompson,0,2,0.0747175350306558,-0.08171941314197036,0.23115448320328197,True,16
thompson,0,3,0.09663597390082539,-0.04736978029531198,0.24064172809696277,True,16
thompson,1,1,0.22124401073698835,0.05331259280220957,0.38917542867176713,True,16
thompson,1,2,0.13747364580513854,-0.04223292760845562,0.31718021921873274,True,16
thompson,1,3,0.10373206611414147,-0.0733308746538242,0.2807950068821071,True,16
thompson,2,1,0.3742182305753646,0.13210551959077435,0.6163309415599548,True,16
thompson,2,2,0.2217053529484493,-0.039271272175793986,0.48268197807269264,True,16
thompson,2,3,0.06696611918617261,-0.19019914196504972,0.32413138033739497,True,16
thompson,0,1,0.0942457259702167,-0.053115420929153265,0.24160687286958665,True,17
thompson,0,2,0.10737271279060902,-0.04233572356425648,0.25708114914547453,True,17
thompson,0,3,0.08123034280496091,-0.11011120003120867,0.2725718856411305,True,17
thompson,1,1,0.26068325635597145,0.12479220984436823,0.39657430286757467,True,17
thompson,1,2,0.2511633312587032,0.10623213151611013,0.3960945310012963,True,17
thompson,1,3,0.0711938380923747,-0.11137399340549084,0.25376166959024027,True,17
thompson,2,1,0.2357077647671713,-0.04238966192364435,0.513805191457987,True,17
thompson,2,2,0.14431157449616577,-0.13170932637019095,0.4203324753625225,True,17
thompson,2,3,-0.06089196522992713,-0.3605176590834555,0.23873372862360126,True,17
thompson,0,1,0.05551070419903224,-0.07101474462318015,0.18203615302124465,True,18
thompson,0,2,0.08890283966996232,-0.044754515515034066,0.2225601948549587,True,18
thompson,0,3,0.0680953175177498,-0.0906276146123434,0.226818249647843,True,18
thompson,1,1,0.2666417196644898,0.11588626733803442,0.41739717199094517,True,18
thompson,1,2,0.17378589708167966,0.0010211188373910052,0.3465506753259683,True,18
thompson,1,3,0.18589673976122445,-0.01158248215557861,0.3833759616780275,True,18
thompson,2,1,0.46241058630839843,0.28132471692819105,0.6434964556886058,True,18
thompson,2,2,0.2614047366256605,0.053084278832594256,0.46972519441872673,True,18
thompson,2,3,0.16571831777666152,-0.1160386595745827,0.44747529512790574,True,18
thompson,0,1,0.036792006211062676,-0.06966430758903036,0.14324832001115573,True,19
thompson,0,2,0.14237219793742337,0.04419492548206731,0.2405494703927794,True,19
thompson,0,3,0.1707128982042379,0.0675673056749375,0.2738584907335383,True,19
thompson,1,1,0.1852104482726686,0.026237964231737354,0.34418293231359987,True,19
thompson,1,2,0.12227794513731817,-0.022061979838915516,0.26661787011355187,True,19
thompson,1,3,0.08868624273255528,-0.059334435082259315,0.23670692054736986,True,19
thompson,2,1,0.29185777636994287,0.11604165348067466,0.4676738992592111,True,19
thompson,2,2,0.1064595786491128,-0.05740816980207515,0.2703273271003008,True,19
thompson,2,3,-0.02320079201397004,-0.1920311841808635,0.14562960015292342,True,19
thompson,0,1,0.10869067270039076,-0.005594742420121021,0.22297608782090256,True,20
thompson,0,2,0.1640892436526377,0.03320692484846094,0.29497156245681444,True,20
thompson,0,3,0.1994201516156547,0.03801369654866843,0.360826606682641,True,20
thompson,1,1,0.06769614937499549,-0.11825328350353712,0.25364558225352807,True,20
thompson,1,2,0.01734601333305063,-0.18485202609953016,0.21954405276563144,True,20
